node,node2,regime
c5401,c5169,0
c5401,c5402,0
c5401,,0
c5402,,0
c5169,c5170,0
c5169,,0
c5170,,0
c5053,c5054,0
c5053,,0
c5054,,0
c5131,c5155,0
c5131,c5319,0
c5131,c5029,0
c5131,c5143,0
c5131,c5132,0
c5131,,0
c5132,,0
c5143,c5144,0
c5143,,0
c5144,,0
c5029,c5265,0
c5029,c5030,0
c5029,,0
c5030,,0
c5265,c5266,0
c5265,,0
c5266,,0
c5319,c5320,0
c5319,,0
c5320,,0
c5155,c5357,0
c5155,c5431,0
c5155,c5305,0
c5155,c5089,1
c5155,c5193,1
c5155,c5081,1
c5155,c5241,1
c5155,c5156,1
c5155,,1
c5156,,1
c5241,c4995,1
c5241,c5242,1
c5241,,1
c5242,,1
c4995,c4996,1
c4995,,1
c4996,,1
c5081,c5082,1
c5081,,1
c5082,,1
c5193,c5191,1
c5193,c5163,1
c5193,c5194,1
c5193,,1
c5194,,1
c5163,c5164,1
c5163,,1
c5164,,1
c5191,c5203,1
c5191,c4963,1
c5191,c5403,1
c5191,c5192,1
c5191,,1
c5192,,1
c5403,c5404,1
c5403,,1
c5404,,1
c4963,c4964,1
c4963,,1
c4964,,1
c5203,c5059,1
c5203,c5204,1
c5203,,1
c5204,,1
c5059,c5060,1
c5059,,1
c5060,,1
c5089,c5090,1
c5089,,1
c5090,,1
c5305,c4915,0
c5305,c5239,0
c5305,c5306,0
c5305,,0
c5306,,0
c5239,c5275,0
c5239,c5240,0
c5239,,0
c5240,,0
c5275,c5276,0
c5275,,0
c5276,,0
c4915,c4949,0
c4915,c4916,0
c4915,,0
c4916,,0
c4949,c5373,0
c4949,c4950,0
c4949,,0
c4950,,0
c5373,c5374,0
c5373,,0
c5374,,0
c5431,c5365,0
c5431,c5539,0
c5431,c5479,0
c5431,c5429,0
c5431,c5432,0
c5431,,0
c5432,,0
c5429,c5430,0
c5429,,0
c5430,,0
c5479,c5480,0
c5479,,0
c5480,,0
c5539,c5499,0
c5539,c5477,0
c5539,c5540,0
c5539,,0
c5540,,0
c5477,c5478,0
c5477,,0
c5478,,0
c5499,c5500,0
c5499,,0
c5500,,0
c5365,c5237,0
c5365,c5366,0
c5365,,0
c5366,,0
c5237,c5238,0
c5237,,0
c5238,,0
c5357,c4971,0
c5357,c5341,0
c5357,c5055,0
c5357,c5355,0
c5357,c5159,0
c5357,c5127,0
c5357,c5358,0
c5357,,0
c5358,,0
c5127,c5128,0
c5127,,0
c5128,,0
c5159,c5185,0
c5159,c5160,0
c5159,,0
c5160,,0
c5185,c5186,0
c5185,,0
c5186,,0
c5355,c5289,0
c5355,c4985,0
c5355,c5356,0
c5355,,0
c5356,,0
c4985,c4986,0
c4985,,0
c4986,,0
c5289,c5325,0
c5289,c5290,0
c5289,,0
c5290,,0
c5325,c5326,0
c5325,,0
c5326,,0
c5055,c5115,0
c5055,c5133,0
c5055,c5056,0
c5055,,0
c5056,,0
c5133,c5134,0
c5133,,0
c5134,,0
c5115,c5116,0
c5115,,0
c5116,,0
c5341,c5317,0
c5341,c5217,0
c5341,c5342,0
c5341,,0
c5342,,0
c5217,c5218,0
c5217,,0
c5218,,0
c5317,c5371,0
c5317,c5011,0
c5317,c5318,0
c5317,,0
c5318,,0
c5011,c5012,0
c5011,,0
c5012,,0
c5371,c4907,0
c5371,c4999,0
c5371,c5372,0
c5371,,0
c5372,,0
c4999,c5000,0
c4999,,0
c5000,,0
c4907,c4981,0
c4907,c4908,0
c4907,,0
c4908,,0
c4981,c4982,0
c4981,,0
c4982,,0
c4971,c5359,0
c4971,c5027,0
c4971,c5249,0
c4971,c4979,0
c4971,c4972,0
c4971,,0
c4972,,0
c4979,c4980,0
c4979,,0
c4980,,0
c5249,c5250,0
c5249,,0
c5250,,0
c5027,c5028,0
c5027,,0
c5028,,0
c5359,c5153,0
c5359,c5347,0
c5359,c5360,0
c5359,,0
c5360,,0
c5347,c5348,0
c5347,,0
c5348,,0
c5153,c5007,0
c5153,c5154,0
c5153,,0
c5154,,0
c5007,c5008,0
c5007,,0
c5008,,0
